cveId,componentType,problemReasons,sourceName,sourceUrl,cvssVersion,vectorString,baseScore,baseSeverity,attackVector,attackComplexity,privilegesRequired,userInteraction,scope,confidentialityImpact,integrityImpact,availabilityImpact,notes
CVE-2024-21896,CAngularSPA,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-22017,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:L/AC:L/PR:H/UI:N/S:C/C:L/I:H/A:L,7.3,HIGH,LOCAL,LOW,HIGH,NONE,CHANGED,LOW,HIGH,LOW,
CVE-2024-22018,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:L/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.9,LOW,LOCAL,HIGH,NONE,NONE,UNCHANGED,LOW,NONE,NONE,
CVE-2024-22019,CAngularSPA,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,
CVE-2024-22020,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:L/AC:H/PR:N/UI:R/S:U/C:L/I:H/A:H,6.5,MEDIUM,LOCAL,HIGH,NONE,REQUIRED,UNCHANGED,LOW,HIGH,HIGH,
CVE-2024-22025,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,MEDIUM,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH,
CVE-2024-27980,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-27983,CAngularSPA,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,8.2,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,HIGH,
CVE-2024-5205,CAngularSPA,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:N,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,CHANGED,LOW,LOW,NONE,
CVE-2026-27970,CAngularSPA,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,
CVE-2023-46809,CExpressJS,,NVD,,3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,7.4,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,
CVE-2024-21890,CExpressJS,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,NONE,
CVE-2024-21891,CExpressJS,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-27983,CExpressJS,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H,8.2,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,HIGH,
CVE-2024-3566,CExpressJS,,NVD,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-36137,CExpressJS,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,3.3,LOW,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,LOW,NONE,
CVE-2024-36138,CExpressJS,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,
CVE-2024-37372,CExpressJS,non_v31_cvss:3.0,NVD,,3.0,CVSS:3.0/AV:L/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N,3.6,LOW,LOCAL,HIGH,NONE,REQUIRED,UNCHANGED,LOW,LOW,NONE,
CVE-2025-23084,CExpressJS,,NVD,,3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,
